stage,opponent_stage,wins,draws,losses,elo_stage,elo_opponent_stage
32,30,471,0,529,1566.4899045561485,1572.2550326257083
32,31,506,0,494,1566.4899045561485,1571.9377911721713
32,32,493,0,507,1566.4899045561485,1566.617083668375
32,33,519,0,481,1566.4899045561485,1566.4899045561485
33,11,556,0,444,1546.6925263477176,1510.6271931566494
33,15,538,0,462,1546.6925263477176,1508.8894392322406
33,16,529,0,471,1546.6925263477176,1515.9016529383998
33,17,534,0,466,1546.6925263477176,1508.6098096160215
33,18,517,0,483,1546.6925263477176,1510.4873692605315
33,19,525,0,475,1546.6925263477176,1503.516493028022
33,20,488,0,512,1546.6925263477176,1550.3369983355435
33,21,494,0,506,1546.6925263477176,1525.8630151160562
33,22,517,0,483,1546.6925263477176,1529.8656098798592
33,23,503,0,497,1546.6925263477176,1535.2125936020766
33,24,518,0,482,1546.6925263477176,1533.5435341871591
33,25,498,0,502,1546.6925263477176,1550.5676492867549
33,26,485,0,515,1546.6925263477176,1542.5284870888363
33,27,487,0,513,1546.6925263477176,1547.7705224156439
33,28,472,0,528,1546.6925263477176,1559.3487921619678
33,29,466,0,534,1546.6925263477176,1557.4277415551737
33,30,448,0,552,1546.6925263477176,1571.3053886946896
33,31,458,0,542,1546.6925263477176,1570.6795254993694
33,32,473,0,527,1546.6925263477176,1565.1009227418929
33,33,461,0,539,1546.6925263477176,1565.2633371028155
33,34,478,0,522,1546.6925263477176,1546.6925263477176
34,11,585,0,415,1585.9657316243818,1510.2494878505763
34,15,595,0,405,1585.9657316243818,1508.3663261039317
